Price Period,Town,Super,Diesel,Kerosene
15th August 2022 - 14th September 2022,Loyangalani,167.15,148.04,135.97
15th August 2022 - 14th September 2022,Turbi,166.96,147.84,135.78
15th August 2022 - 14th September 2022,Laisamis,164.16,145.06,132.98
15th August 2022 - 14th September 2022,Merille,163.87,144.75,132.69
15th August 2022 - 14th September 2022,Korr,165.11,146.0,133.93
15th August 2022 - 14th September 2022,Nakuru,158.64,139.83,127.79
15th August 2022 - 14th September 2022,Gilgil,158.61,139.79,127.76
15th August 2022 - 14th September 2022,Mogotio,158.6,139.78,127.74
15th August 2022 - 14th September 2022,Molo,158.69,139.86,127.83
15th August 2022 - 14th September 2022,Olenguruone,159.39,140.56,128.53
15th August 2022 - 14th September 2022,Londiani,158.9,140.09,128.05
15th August 2022 - 14th September 2022,Nyahururu,158.89,140.08,128.04
15th August 2022 - 14th September 2022,Archers Post,161.88,143.06,131.03
15th August 2022 - 14th September 2022,Lodosoit,162.98,144.16,132.13
15th August 2022 - 14th September 2022,Naivasha,158.97,140.15,128.11
15th August 2022 - 14th September 2022,Marigat,159.38,140.55,128.51
15th August 2022 - 14th September 2022,Kabarnet ,159.86,141.04,129.01
15th August 2022 - 14th September 2022,Maralal,160.95,142.13,130.1
15th August 2022 - 14th September 2022,Wamba,161.79,142.97,130.93
15th August 2022 - 14th September 2022,Rumuruti,159.43,140.62,128.58
15th August 2022 - 14th September 2022,Eldoret,159.53,140.72,128.67
15th August 2022 - 14th September 2022,Kiplombe,159.53,140.72,128.67
15th August 2022 - 14th September 2022,Iten,159.53,140.72,128.67
15th August 2022 - 14th September 2022,Naiberi,159.53,140.72,128.67
15th August 2022 - 14th September 2022,Kesses,159.53,140.72,128.67
15th August 2022 - 14th September 2022,Kapsabet,159.54,140.74,128.68
15th August 2022 - 14th September 2022,Webuye,159.95,141.15,129.1
15th August 2022 - 14th September 2022,Kitale,159.89,141.08,129.03
15th August 2022 - 14th September 2022,Kapenguria ,160.52,141.72,129.67
15th August 2022 - 14th September 2022,Bungoma,160.3,141.48,129.44
15th August 2022 - 14th September 2022,Moiben,159.54,140.74,128.68
15th August 2022 - 14th September 2022,Matunda,159.52,140.7,128.66
15th August 2022 - 14th September 2022,Burnt Forest,159.48,140.67,128.62
15th August 2022 - 14th September 2022,Tambach,159.57,140.76,128.71
15th August 2022 - 14th September 2022,Kapsowar,160.04,141.22,129.18
15th August 2022 - 14th September 2022,Chebara,159.92,141.1,129.06
15th August 2022 - 14th September 2022,Kimwarer,159.84,141.03,128.99
15th August 2022 - 14th September 2022,Timboroa,159.77,140.95,128.9
15th August 2022 - 14th September 2022,Nandi Hills,159.72,140.91,128.87
